Day: 1.Jan.1650, FoolMoon: false, citizens: 49, action: Alissa Kuphal (Werewolf) go out from village
Day: 16.May.1650, FoolMoon: false, citizens: 34, action: Shelby Miller (Witch) go out from village
Day: 17.May.1650, FoolMoon: false, citizens: 34, action: Sleeping....
Day: 18.May.1650, FoolMoon: false, citizens: 33, action: Ji Wiza (Vampire) go out from village
Day: 19.May.1650, FoolMoon: false, citizens: 33, action: Sleeping....
Day: 20.May.1650, FoolMoon: false, citizens: 33, action: Carey Bahringer (Werewolf) drink tea with Gil Becker (Peasant)
Day: 21.May.1650, FoolMoon: true, citizens: 34, action: Chet Hickle (Witch) come to village
Day: 22.May.1650, FoolMoon: false, citizens: 34, action: Sleeping....
Day: 23.May.1650, FoolMoon: false, citizens: 33, action: Gilberto Turcotte (Vampire) go out from village
Day: 24.May.1650, FoolMoon: false, citizens: 32, action: Elanor Hartmann (Witch) go out from village
Day: 25.May.1650, FoolMoon: false, citizens: 31, action: Conrad Glover (Werewolf) go out from village
Day: 26.May.1650, FoolMoon: false, citizens: 31, action: Les Koch (Peasant) drink tea with Josephine Thompson (Werewolf)
Day: 27.May.1650, FoolMoon: false, citizens: 32, action: Antwan Romaguera (Peasant) come to village
Day: 28.May.1650, FoolMoon: false, citizens: 32, action: Sleeping....
Day: 29.May.1650, FoolMoon: false, citizens: 32, action: Melia Feest (Witch) drink tea with Reynalda Bashirian (Peasant)
Day: 30.May.1650, FoolMoon: false, citizens: 31, action: Jonie Sawayn (Werewolf) go out from village
Day: 31.May.1650, FoolMoon: false, citizens: 32, action: Carol Weber (Witch) come to village
Day: 1.Jun.1650, FoolMoon: false, citizens: 32, action: Sleeping....
Day: 2.Jun.1650, FoolMoon: false, citizens: 33, action: Arthur Anderson (Peasant) come to village
Day: 3.Jun.1650, FoolMoon: false, citizens: 34, action: Josh Jacobs (Peasant) come to village
Day: 4.Jun.1650, FoolMoon: false, citizens: 34, action: MurderException Kimberlie McDermott (Witch) turned into a vampire by Sheri Waters (Vampire)
Day: 5.Jun.1650, FoolMoon: false, citizens: 34, action: Sleeping....
Day: 6.Jun.1650, FoolMoon: false, citizens: 33, action: Carey Bahringer (Werewolf) go out from village
Day: 7.Jun.1650, FoolMoon: false, citizens: 34, action: Carmen Auer (Peasant) come to village
Day: 8.Jun.1650, FoolMoon: false, citizens: 35, action: Tameika Fadel (Peasant) come to village
Day: 9.Jun.1650, FoolMoon: false, citizens: 35, action: Sleeping....
Day: 10.Jun.1650, FoolMoon: false, citizens: 35, action: Sleeping....
Day: 11.Jun.1650, FoolMoon: false, citizens: 36, action: Ed Schumm (Peasant) come to village
Day: 12.Jun.1650, FoolMoon: false, citizens: 36, action: Sleeping....
Day: 13.Jun.1650, FoolMoon: false, citizens: 36, action: Reynalda Bashirian (Peasant) drink tea with Carol Weber (Witch)
Day: 14.Jun.1650, FoolMoon: false, citizens: 36, action: Sleeping....
Day: 15.Jun.1650, FoolMoon: false, citizens: 36, action: Sleeping....
Day: 16.Jun.1650, FoolMoon: false, citizens: 36, action: Sleeping....
Day: 17.Jun.1650, FoolMoon: false, citizens: 36, action: Josephine Thompson (Werewolf) drink tea with Jessie Herzog (Vampire)
Day: 18.Jun.1650, FoolMoon: true, citizens: 37, action: Harvey Moen (Vampire) come to village
Day: 19.Jun.1650, FoolMoon: false, citizens: 36, action: Ivan Gutkowski (Vampire) go out from village
Day: 20.Jun.1650, FoolMoon: false, citizens: 36, action: Ed Schumm (Peasant) drink tea with Sheri Waters (Vampire)
Day: 21.Jun.1650, FoolMoon: false, citizens: 35, action: Rosalyn Roberts (Vampire) go out from village
Day: 22.Jun.1650, FoolMoon: false, citizens: 35, action: Sleeping....
Day: 23.Jun.1650, FoolMoon: false, citizens: 36, action: Ronald Simonis (Werewolf) come to village
Day: 24.Jun.1650, FoolMoon: false, citizens: 36, action: Chas Kovacek (Werewolf) drink tea with Les Koch (Peasant)
Day: 25.Jun.1650, FoolMoon: false, citizens: 36, action: MurderException Chet Hickle (Witch) turned into a vampire by Columbus Feeney (Vampire)
Day: 26.Jun.1650, FoolMoon: false, citizens: 37, action: Kazuko Harber (Witch) come to village
Day: 27.Jun.1650, FoolMoon: false, citizens: 36, action: Antione Connelly (Witch) go out from village
Day: 28.Jun.1650, FoolMoon: false, citizens: 36, action: Sleeping....
Day: 29.Jun.1650, FoolMoon: false, citizens: 35, action: Chet Hickle (Vampire) go out from village
Day: 30.Jun.1650, FoolMoon: false, citizens: 34, action: Jessie Herzog (Vampire) go out from village
Day: 1.Jul.1650, FoolMoon: false, citizens: 34, action: MurderException Carol Weber (Witch) turned into a vampire by Kimberlie McDermott (Vampire)
Day: 2.Jul.1650, FoolMoon: false, citizens: 33, action: Chas Kovacek (Werewolf) go out from village
Day: 3.Jul.1650, FoolMoon: false, citizens: 33, action: Columbus Feeney (Vampire) drink tea with Josephine Thompson (Werewolf)
Day: 4.Jul.1650, FoolMoon: false, citizens: 34, action: Dino Hills (Witch) come to village
Day: 5.Jul.1650, FoolMoon: false, citizens: 34, action: Hwa Gerhold (Vampire) drink tea with Otis Keeling (Werewolf)
Day: 6.Jul.1650, FoolMoon: false, citizens: 34, action: Pedro Lowe (Witch) drink tea with Antonio Stanton (Witch)
Day: 7.Jul.1650, FoolMoon: false, citizens: 35, action: Lavern Mohr (Werewolf) come to village
Day: 8.Jul.1650, FoolMoon: false, citizens: 34, action: Rolf Cole (Witch) go out from village
Day: 9.Jul.1650, FoolMoon: false, citizens: 33, action: Carol Weber (Vampire) go out from village
Day: 10.Jul.1650, FoolMoon: false, citizens: 32, action: Hwa Gerhold (Vampire) go out from village
Day: 11.Jul.1650, FoolMoon: false, citizens: 33, action: Adah Brakus (Vampire) come to village
Day: 12.Jul.1650, FoolMoon: false, citizens: 34, action: Otto Schmidt (Vampire) come to village
Day: 13.Jul.1650, FoolMoon: false, citizens: 34, action: Sleeping....
Day: 14.Jul.1650, FoolMoon: false, citizens: 33, action: Antwan Romaguera (Peasant) go out from village
Day: 15.Jul.1650, FoolMoon: false, citizens: 34, action: Luigi West (Werewolf) come to village
Day: 16.Jul.1650, FoolMoon: true, citizens: 33, action: MurderException Jerri Shields (Vampire) has been killed by Josephine Thompson (Werewolf)
Day: 17.Jul.1650, FoolMoon: false, citizens: 33, action: Sleeping....
Day: 18.Jul.1650, FoolMoon: false, citizens: 32, action: Ronald Simonis (Werewolf) go out from village
Day: 19.Jul.1650, FoolMoon: false, citizens: 32, action: Sleeping....
Day: 20.Jul.1650, FoolMoon: false, citizens: 31, action: Reynalda Bashirian (Peasant) go out from village
Day: 21.Jul.1650, FoolMoon: false, citizens: 30, action: Gil Becker (Peasant) go out from village
Day: 22.Jul.1650, FoolMoon: false, citizens: 30, action: Sleeping....
Day: 23.Jul.1650, FoolMoon: false, citizens: 29, action: Harvey Moen (Vampire) go out from village
Day: 24.Jul.1650, FoolMoon: false, citizens: 28, action: Dino Hills (Witch) go out from village
Day: 25.Jul.1650, FoolMoon: false, citizens: 29, action: Shaquana Shanahan (Werewolf) come to village
Day: 26.Jul.1650, FoolMoon: false, citizens: 28, action: Wade Ebert (Peasant) go out from village
Day: 27.Jul.1650, FoolMoon: false, citizens: 28, action: Sleeping....
Day: 28.Jul.1650, FoolMoon: false, citizens: 28, action: Niki Witting (Witch) drink tea with Carmen Auer (Peasant)
Day: 29.Jul.1650, FoolMoon: false, citizens: 27, action: Columbus Feeney (Vampire) go out from village
Day: 30.Jul.1650, FoolMoon: false, citizens: 27, action: Luigi West (Werewolf) drink tea with Otis Keeling (Werewolf)
Day: 31.Jul.1650, FoolMoon: false, citizens: 27, action: Sleeping....
Day: 1.Aug.1650, FoolMoon: false, citizens: 27, action: Sleeping....
Day: 2.Aug.1650, FoolMoon: false, citizens: 27, action: Sleeping....
Day: 3.Aug.1650, FoolMoon: false, citizens: 26, action: Galen Heathcote (Peasant) go out from village
Day: 4.Aug.1650, FoolMoon: false, citizens: 26, action: Chet Towne (Peasant) drink tea with Carmen Auer (Peasant)
Day: 5.Aug.1650, FoolMoon: false, citizens: 25, action: Les Koch (Peasant) go out from village
Day: 6.Aug.1650, FoolMoon: false, citizens: 26, action: Zana Swaniawski (Witch) come to village
Day: 7.Aug.1650, FoolMoon: false, citizens: 26, action: Sleeping....
Day: 8.Aug.1650, FoolMoon: false, citizens: 25, action: Kimberlie McDermott (Vampire) go out from village
Day: 9.Aug.1650, FoolMoon: false, citizens: 26, action: Elmer Cormier (Witch) come to village
Day: 10.Aug.1650, FoolMoon: false, citizens: 25, action: Kazuko Harber (Witch) go out from village
Day: 11.Aug.1650, FoolMoon: false, citizens: 25, action: Tameika Fadel (Peasant) drink tea with Chet Towne (Peasant)
Day: 12.Aug.1650, FoolMoon: false, citizens: 24, action: Otto Schmidt (Vampire) go out from village
Day: 13.Aug.1650, FoolMoon: true, citizens: 24, action: Sleeping....
Day: 14.Aug.1650, FoolMoon: false, citizens: 23, action: Josephine Thompson (Werewolf) go out from village
Day: 15.Aug.1650, FoolMoon: false, citizens: 24, action: Adrian Corkery (Werewolf) come to village
Day: 16.Aug.1650, FoolMoon: false, citizens: 23, action: Elmer Cormier (Witch) go out from village
Day: 17.Aug.1650, FoolMoon: false, citizens: 23, action: Sleeping....
Day: 18.Aug.1650, FoolMoon: false, citizens: 22, action: Adah Brakus (Vampire) go out from village
Day: 19.Aug.1650, FoolMoon: false, citizens: 22, action: Sleeping....
Day: 20.Aug.1650, FoolMoon: false, citizens: 21, action: Sheri Waters (Vampire) go out from village
Day: 21.Aug.1650, FoolMoon: false, citizens: 21, action: Julissa Kris (Werewolf) drink tea with Melia Feest (Witch)
Day: 22.Aug.1650, FoolMoon: false, citizens: 21, action: Luigi West (Werewolf) drink tea with Emmie Moen (Witch)
Day: 23.Aug.1650, FoolMoon: false, citizens: 21, action: Sleeping....
Day: 24.Aug.1650, FoolMoon: false, citizens: 22, action: Adeline Wyman (Peasant) come to village
Day: 25.Aug.1650, FoolMoon: false, citizens: 21, action: Meryl D'Amore (Peasant) go out from village
Day: 26.Aug.1650, FoolMoon: false, citizens: 21, action: Sleeping....
Day: 27.Aug.1650, FoolMoon: false, citizens: 22, action: Conchita Emmerich (Vampire) come to village
Day: 28.Aug.1650, FoolMoon: false, citizens: 22, action: Sleeping....
Day: 29.Aug.1650, FoolMoon: false, citizens: 21, action: Carmen Auer (Peasant) go out from village
Day: 30.Aug.1650, FoolMoon: false, citizens: 21, action: Sleeping....
Day: 31.Aug.1650, FoolMoon: false, citizens: 21, action: Sleeping....
Day: 1.Sep.1650, FoolMoon: false, citizens: 21, action: Ruby Osinski (Werewolf) drink tea with Pedro Lowe (Witch)
Day: 2.Sep.1650, FoolMoon: false, citizens: 20, action: Luigi West (Werewolf) go out from village
Day: 3.Sep.1650, FoolMoon: false, citizens: 19, action: Adrian Corkery (Werewolf) go out from village
Day: 4.Sep.1650, FoolMoon: false, citizens: 18, action: Josh Jacobs (Peasant) go out from village
Day: 5.Sep.1650, FoolMoon: false, citizens: 18, action: Sleeping....
Day: 6.Sep.1650, FoolMoon: false, citizens: 18, action: Sleeping....
Day: 7.Sep.1650, FoolMoon: false, citizens: 19, action: Janelle Swaniawski (Witch) come to village
Day: 8.Sep.1650, FoolMoon: false, citizens: 19, action: Lavern Mohr (Werewolf) drink tea with Tameika Fadel (Peasant)
Day: 9.Sep.1650, FoolMoon: false, citizens: 19, action: Arthur Anderson (Peasant) drink tea with Niki Witting (Witch)
Day: 10.Sep.1650, FoolMoon: true, citizens: 19, action: Sleeping....
Day: 11.Sep.1650, FoolMoon: false, citizens: 20, action: Erin O'Reilly (Werewolf) come to village
Day: 12.Sep.1650, FoolMoon: false, citizens: 21, action: Chase Schulist (Peasant) come to village
Day: 13.Sep.1650, FoolMoon: false, citizens: 20, action: Ed Schumm (Peasant) go out from village
Day: 14.Sep.1650, FoolMoon: false, citizens: 21, action: Levi Quigley (Werewolf) come to village
Day: 15.Sep.1650, FoolMoon: false, citizens: 22, action: Marylouise Waelchi (Witch) come to village
Day: 16.Sep.1650, FoolMoon: false, citizens: 22, action: Sleeping....
Day: 17.Sep.1650, FoolMoon: false, citizens: 23, action: Damien Tillman (Witch) come to village
Day: 18.Sep.1650, FoolMoon: false, citizens: 22, action: Otis Keeling (Werewolf) go out from village
Day: 19.Sep.1650, FoolMoon: false, citizens: 23, action: Lilla Hartmann (Peasant) come to village
Day: 20.Sep.1650, FoolMoon: false, citizens: 23, action: Sleeping....
Day: 21.Sep.1650, FoolMoon: false, citizens: 24, action: Antone Kassulke (Werewolf) come to village
Day: 22.Sep.1650, FoolMoon: false, citizens: 24, action: Sleeping....
Day: 23.Sep.1650, FoolMoon: false, citizens: 25, action: Collen Hyatt (Werewolf) come to village
Day: 24.Sep.1650, FoolMoon: false, citizens: 25, action: Lavern Mohr (Werewolf) drink tea with Shaquana Shanahan (Werewolf)
Day: 25.Sep.1650, FoolMoon: false, citizens: 25, action: Ruby Osinski (Werewolf) drink tea with Melia Feest (Witch)
Day: 26.Sep.1650, FoolMoon: false, citizens: 25, action: Sleeping....
Day: 27.Sep.1650, FoolMoon: false, citizens: 26, action: Letisha Gaylord (Peasant) come to village
Day: 28.Sep.1650, FoolMoon: false, citizens: 26, action: Adeline Wyman (Peasant) drink tea with Tameika Fadel (Peasant)
Day: 29.Sep.1650, FoolMoon: false, citizens: 26, action: Niki Witting (Witch) drink tea with Niki Witting (Witch)
Day: 30.Sep.1650, FoolMoon: false, citizens: 25, action: Lavern Mohr (Werewolf) go out from village
Day: 1.Oct.1650, FoolMoon: false, citizens: 24, action: Thaddeus Paucek (Werewolf) go out from village
Day: 2.Oct.1650, FoolMoon: false, citizens: 25, action: Jasper Waelchi (Vampire) come to village
Day: 3.Oct.1650, FoolMoon: false, citizens: 24, action: Ruby Osinski (Werewolf) go out from village
Day: 4.Oct.1650, FoolMoon: false, citizens: 25, action: Bethel Boehm (Werewolf) come to village
Day: 5.Oct.1650, FoolMoon: false, citizens: 25, action: Sleeping....
Day: 6.Oct.1650, FoolMoon: false, citizens: 24, action: Chet Towne (Peasant) go out from village
Day: 7.Oct.1650, FoolMoon: false, citizens: 25, action: Jo Kessler (Vampire) come to village
Day: 8.Oct.1650, FoolMoon: true, citizens: 25, action: Sleeping....
Day: 9.Oct.1650, FoolMoon: false, citizens: 25, action: Janelle Swaniawski (Witch) drink tea with Chase Schulist (Peasant)
